"","Tissue","Cell_type","Change","Gene"
"93","Adipose","Preadipocyte_1","Positive","Cyba"
"94","Adipose","Preadipocyte_1","Positive","Agt"
"95","Adipose","Preadipocyte_1","Positive","Gdf10"
"96","Adipose","Preadipocyte_1","Positive","Trf"
"97","Adipose","Preadipocyte_1","Positive","Col6a5"
"98","Adipose","Preadipocyte_1","Positive","Ace"
"99","Adipose","Preadipocyte_1","Positive","S1pr3"
"100","Adipose","Preadipocyte_1","Positive","C7"
"101","Adipose","Preadipocyte_1","Positive","6030408B16Rik"
"102","Adipose","Preadipocyte_1","Positive","Adamts5"
"103","Adipose","Preadipocyte_1","Positive","Clic6"
"104","Adipose","Preadipocyte_1","Positive","Srpx"
"105","Adipose","Preadipocyte_1","Positive","Man2a1"
"106","Adipose","Preadipocyte_1","Positive","Dbi"
"107","Adipose","Preadipocyte_1","Positive","Arl4a"
"108","Adipose","Preadipocyte_1","Positive","Aldh1a1"
"109","Adipose","Preadipocyte_1","Positive","Prrg3"
"110","Adipose","Preadipocyte_1","Positive","Lamb2"
"111","Adipose","Preadipocyte_1","Positive","Bmper"
"112","Adipose","Preadipocyte_1","Positive","Fabp4"
"113","Adipose","Preadipocyte_1","Positive","Map1b"
"114","Adipose","Preadipocyte_1","Positive","Gnai1"
"115","Adipose","Preadipocyte_1","Positive","Gadd45g"
"116","Adipose","Preadipocyte_1","Positive","Lbp"
"117","Adipose","Preadipocyte_1","Positive","Hspb1"
"118","Adipose","Preadipocyte_1","Positive","Slc43a3"
"119","Adipose","Preadipocyte_1","Positive","Dpep1"
"120","Adipose","Preadipocyte_1","Positive","Drap1"
"121","Adipose","Preadipocyte_1","Positive","Egfr"
"122","Adipose","Preadipocyte_1","Positive","Serpina3n"
"123","Adipose","Preadipocyte_1","Positive","Fmo2"
"124","Adipose","Preadipocyte_1","Positive","Sat1"
"125","Adipose","Preadipocyte_1","Positive","Osr1"
"126","Adipose","Preadipocyte_1","Positive","Mt2"
"127","Adipose","Preadipocyte_1","Positive","Ptx3"
"128","Adipose","Preadipocyte_1","Positive","Inmt"
"129","Adipose","Preadipocyte_2","Positive","Serpine2"
"130","Adipose","Preadipocyte_2","Positive","Sult1e1"
"131","Adipose","Preadipocyte_2","Positive","Hp"
"132","Adipose","Preadipocyte_2","Positive","C7"
"133","Adipose","Preadipocyte_2","Positive","Cp"
"134","Adipose","Preadipocyte_2","Positive","Svep1"
"135","Adipose","Preadipocyte_2","Positive","Col6a5"
"136","Adipose","Preadipocyte_2","Positive","S1pr3"
"137","Adipose","Preadipocyte_2","Positive","Ace"
"138","Adipose","Preadipocyte_2","Positive","Adamts5"
"139","Adipose","Preadipocyte_2","Positive","Penk"
"140","Adipose","Preadipocyte_2","Positive","Ramp1"
"141","Adipose","Preadipocyte_2","Positive","Cyba"
"142","Adipose","Preadipocyte_2","Positive","Thsd7a"
"143","Adipose","Preadipocyte_2","Positive","Fmo2"
"144","Adipose","Preadipocyte_2","Positive","Ecm1"
"145","Adipose","Preadipocyte_2","Positive","Trf"
"146","Adipose","Preadipocyte_2","Positive","C3"
"147","Adipose","Preadipocyte_2","Positive","Hspb1"
"148","Adipose","Preadipocyte_2","Positive","Dpep1"
"149","Adipose","Preadipocyte_2","Positive","Slc43a3"
"150","Adipose","Preadipocyte_2","Positive","Gdf10"
"151","Adipose","Preadipocyte_2","Positive","Lamb2"
"152","Adipose","Preadipocyte_2","Positive","Hsd11b1"
"153","Adipose","Preadipocyte_2","Positive","Inmt"
"154","Adipose","Preadipocyte_2","Positive","Bmper"
"155","Adipose","Preadipocyte_2","Positive","Egfr"
"156","Adipose","Preadipocyte_2","Positive","Nr4a3"
"157","Adipose","Preadipocyte_2","Positive","Lox"
"158","Adipose","Preadipocyte_3","Positive","C7"
"159","Adipose","Preadipocyte_3","Positive","Sult1e1"
"160","Adipose","Preadipocyte_3","Positive","Cst3"
"161","Adipose","Preadipocyte_3","Positive","Lbp"
"162","Adipose","Preadipocyte_3","Positive","Fkbp5"
"163","Adipose","Preadipocyte_3","Positive","Wisp2"
"164","Adipose","Preadipocyte_3","Positive","Smoc1"
"165","Adipose","Preadipocyte_3","Positive","Ecm1"
"166","Adipose","Adipocyte","Negative","Acly"
"167","Adipose","Adipocyte","Negative","Fasn"
"168","Adipose","Adipocyte","Negative","Me1"
"169","Adipose","Adipocyte","Negative","Tkt"
"170","Adipose","Adipocyte","Negative","Thrsp"
"171","Adipose","Adipocyte","Negative","Elovl6"
"172","Adipose","Adipocyte","Negative","Acaca"
"173","Adipose","Adipocyte","Negative","Fabp5"
"174","Adipose","Adipocyte","Negative","Mpc1"
"175","Adipose","Adipocyte","Negative","Slc25a1"
"176","Adipose","Adipocyte","Negative","Eno1"
"177","Adipose","Adipocyte","Negative","Pcx"
"178","Adipose","Adipocyte","Negative","Sult1a1"
"179","Adipose","Adipocyte","Negative","Rbp4"
"180","Adipose","Adipocyte","Negative","Acss2"
"181","Adipose","Adipose_stem_cell","Negative","Lum"
"182","Adipose","Adipose_stem_cell","Negative","Postn"
"183","Adipose","Adipose_stem_cell","Negative","Mmp2"
"184","Adipose","Adipose_stem_cell","Negative","Mfap2"
"185","Adipose","Adipose_stem_cell","Negative","Meg3"
"186","Adipose","Adipose_stem_cell","Negative","Cdkn1c"
"187","Adipose","Adipose_stem_cell","Negative","Igfbp5"
"188","Adipose","Adipose_stem_cell","Negative","Sfrp2"
"189","Adipose","Adipose_stem_cell","Negative","Marcks"
"190","Adipose","Adipose_stem_cell","Negative","Lsp1"
"191","Adipose","Adipose_stem_cell","Negative","Pi16"
"192","Adipose","Adipose_stem_cell","Negative","Csrp2"
"193","Adipose","Adipose_stem_cell","Negative","Sema3c"
"194","Adipose","Adipose_stem_cell","Negative","Col14a1"
"195","Adipose","Adipose_stem_cell","Negative","Esr1"
"196","Adipose","Adipose_stem_cell","Negative","Kcnq1ot1"
"197","Adipose","Adipose_stem_cell","Negative","Aif1l"
"198","Adipose","Adipose_stem_cell","Negative","Nbl1"
"199","Adipose","Adipose_stem_cell","Negative","Opcml"
"200","Adipose","Adipose_stem_cell","Negative","Cd55"
"201","Adipose","Adipose_stem_cell","Negative","Daglb"
"202","Adipose","Adipose_stem_cell","Negative","Il33"
"203","Adipose","Adipose_stem_cell","Negative","Ptx3"
"204","Adipose","Endothelial_1","Negative","Cyp26b1"
"205","Adipose","Endothelial_2","Negative","Cyp26b1"
"206","Adipose","Fibroblast","Negative","Rpl9"
"207","Adipose","Fibroblast","Negative","Cdh11"
"208","Adipose","ILC2","Negative","Stab2"
"209","Adipose","ILC2","Negative","Pcsk1"
"210","Adipose","Macrophage_1","Negative","Ccl3"
"211","Adipose","Macrophage_1","Negative","Ccl4"
"212","Adipose","Macrophage_2","Negative","Lum"
"213","Adipose","Mesothelial_cell","Negative","Igf1"
"214","Adipose","Mesothelial_cell","Negative","Cfh"
"215","Adipose","Mesothelial_cell","Negative","Col14a1"
"216","Adipose","Mesothelial_cell","Negative","Tmem255a"
"217","Adipose","Mesothelial_cell","Negative","Cpz"
"218","Adipose","Mesothelial_cell","Negative","C4b"
"219","Adipose","Mesothelial_cell","Negative","Gpc3"
"220","Adipose","Mesothelial_cell","Negative","Fndc1"
"221","Adipose","Preadipocyte_1","Negative","Igfbp5"
"222","Adipose","Preadipocyte_1","Negative","Plekha6"
"223","Adipose","Preadipocyte_1","Negative","Dpt"
"224","Adipose","Preadipocyte_1","Negative","Cxcl12"
"225","Adipose","Preadipocyte_1","Negative","Mgp"
"226","Adipose","Preadipocyte_1","Negative","Anpep"
"227","Adipose","Preadipocyte_1","Negative","Marcks"
"228","Adipose","Preadipocyte_1","Negative","Lum"
"229","Adipose","Preadipocyte_1","Negative","Icam1"
"230","Adipose","Preadipocyte_1","Negative","Igfbp3"
"231","Adipose","Preadipocyte_1","Negative","Fbln1"
"232","Adipose","Preadipocyte_1","Negative","Mdk"
"233","Adipose","Preadipocyte_1","Negative","Prss23"
"234","Adipose","Preadipocyte_1","Negative","Igsf10"
"235","Adipose","Preadipocyte_1","Negative","Lsp1"
"236","Adipose","Preadipocyte_1","Negative","Thbs1"
"237","Adipose","Preadipocyte_1","Negative","Plxdc2"
"238","Adipose","Preadipocyte_1","Negative","Cdh11"
"239","Adipose","Preadipocyte_1","Negative","Lpl"
"240","Adipose","Preadipocyte_1","Negative","Ltbp4"
"241","Adipose","Preadipocyte_1","Negative","Cd55"
"242","Adipose","Preadipocyte_1","Negative","Sox4"
"243","Adipose","Preadipocyte_1","Negative","Mfap2"
"244","Adipose","Preadipocyte_1","Negative","Angptl2"
"245","Adipose","Preadipocyte_1","Negative","Nbl1"
"246","Adipose","Preadipocyte_1","Negative","Postn"
"247","Adipose","Preadipocyte_1","Negative","Itih5"
"248","Adipose","Preadipocyte_1","Negative","Mrc2"
"249","Adipose","Preadipocyte_1","Negative","Ces1d"
"250","Adipose","Preadipocyte_1","Negative","Meg3"
"251","Adipose","Preadipocyte_1","Negative","Tgfbi"
"252","Adipose","Preadipocyte_1","Negative","Gpm6b"
"253","Adipose","Preadipocyte_1","Negative","Peg3"
"254","Adipose","Preadipocyte_2","Negative","Postn"
"255","Adipose","Preadipocyte_2","Negative","Lum"
"256","Adipose","Preadipocyte_2","Negative","Igfbp5"
"257","Adipose","Preadipocyte_2","Negative","Sfrp2"
"258","Adipose","Preadipocyte_2","Negative","Meg3"
"259","Adipose","Preadipocyte_2","Negative","Marcks"
"260","Adipose","Preadipocyte_2","Negative","Lsp1"
"261","Adipose","Preadipocyte_2","Negative","Mfap2"
"262","Adipose","Preadipocyte_2","Negative","Sparcl1"
"263","Adipose","Preadipocyte_2","Negative","Mmp2"
"264","Adipose","Preadipocyte_2","Negative","Cd55"
"265","Adipose","Preadipocyte_2","Negative","Fbln1"
"266","Adipose","Preadipocyte_2","Negative","Pi16"
"267","Adipose","Preadipocyte_2","Negative","Lpl"
"268","Adipose","Preadipocyte_2","Negative","Anpep"
"269","Adipose","Preadipocyte_2","Negative","Sema3c"
"270","Adipose","Preadipocyte_2","Negative","Plekha6"
"271","Adipose","Preadipocyte_2","Negative","Spon2"
"272","Adipose","Preadipocyte_2","Negative","Nbl1"
"273","Adipose","Preadipocyte_2","Negative","Col14a1"
"274","Adipose","Preadipocyte_2","Negative","Cxcl12"
"275","Adipose","Preadipocyte_2","Negative","Thbs1"
"276","Adipose","Preadipocyte_3","Negative","Mdk"
"277","Adipose","Preadipocyte_3","Negative","Ncam1"
"278","Adipose","Preadipocyte_3","Negative","Igfbp3"
"279","Adrenal","Cortex_1","Positive","Hspb1"
"280","Adrenal","Cortex_2","Positive","Susd3"
"281","Adrenal","Cortex_2","Positive","Hspb1"
"282","Adrenal","Cortex_2","Positive","Acan"
"283","Adrenal","Cortex_2","Positive","Serinc3"
"284","Adrenal","Cortex_2","Positive","Smarca1"
"285","Adrenal","Cortex_2","Positive","Tmem35a"
"286","Adrenal","Cortex_2","Positive","Cited1"
"287","Adrenal","Cortex_2","Positive","Stard10"
"288","Adrenal","Cortex_2","Positive","Me1"
"289","Adrenal","Cortex_2","Positive","Mmd2"
"290","Adrenal","Cortex_2","Positive","Acsbg1"
"291","Adrenal","Cortex_2","Positive","Ecm1"
"292","Adrenal","Cortex_2","Positive","Lynx1"
"293","Adrenal","Cortex_2","Positive","Hhex"
"294","Adrenal","Cortex_2","Positive","Ly6d"
"295","Adrenal","Cortex_2","Positive","Kcnk9"
"296","Adrenal","Cortex_2","Positive","Hao2"
"297","Adrenal","Cortex_2","Positive","Akr1b7"
"298","Adrenal","Cortex_2","Positive","Aldh1a1"
"299","Adrenal","Cortex_3","Positive","Aldh1a1"
"300","Adrenal","Cortex_3","Positive","Acsbg1"
"301","Adrenal","Cortex_3","Positive","Slc25a30"
"302","Adrenal","Cortex_3","Positive","Me1"
"303","Adrenal","Cortex_3","Positive","Fdx1"
"304","Adrenal","Cortex_3","Positive","Emp3"
"305","Adrenal","Cortex_3","Positive","St3gal5"
"306","Adrenal","Cortex_3","Positive","Cyp11a1"
"307","Adrenal","Cortex_3","Positive","Plin5"
"308","Adrenal","Cortex_3","Positive","Aldh1a7"
"309","Adrenal","Cortex_3","Positive","Hspb1"
"310","Adrenal","Cortex_3","Positive","Mgarp"
"311","Adrenal","Cortex_3","Positive","Abhd2"
"312","Adrenal","Endothelial_1","Positive","Hspb1"
"313","Adrenal","Endothelial_1","Positive","Gadd45g"
"314","Adrenal","Endothelial_2","Positive","Ly6d"
"315","Adrenal","Endothelial_2","Positive","Gadd45g"
"316","Adrenal","Endothelial_3","Positive","Hspb1"
"317","Adrenal","Endothelial_3","Positive","Serpine2"
"318","Adrenal","Endothelial_3","Positive","Ptpru"
"319","Adrenal","Macrophage","Positive","Igfbp5"
"320","Adrenal","Macrophage","Positive","Akr1b7"
"321","Adrenal","Smooth_muscle","Positive","C7"
"322","Adrenal","Smooth_muscle","Positive","Olfml3"
"323","Adrenal","Smooth_muscle","Positive","Dpep1"
"324","Adrenal","Smooth_muscle","Positive","Vcam1"
"325","Adrenal","T_cell","Positive","Akr1b7"
"326","Adrenal","Cortex_1","Negative","mt-Nd3"
"327","Adrenal","Cortex_2","Negative","Adh1"
"328","Adrenal","Cortex_2","Negative","mt-Nd3"
"329","Adrenal","Cortex_2","Negative","mt-Cytb"
"330","Adrenal","Cortex_2","Negative","Cdkn1c"
"331","Adrenal","Cortex_2","Negative","Lipa"
"332","Adrenal","Endothelial_1","Negative","Ccnd1"
"333","Adrenal","Endothelial_1","Negative","Uchl1"
"334","Adrenal","Endothelial_1","Negative","Ivns1abp"
"335","Adrenal","Endothelial_1","Negative","Esm1"
"336","Adrenal","Endothelial_2","Negative","Adamts1"
"337","Adrenal","Endothelial_2","Negative","Ccnd1"
"338","Adrenal","Endothelial_3","Negative","Ptn"
"339","Adrenal","Macrophage","Negative","Crip1"
"340","Adrenal","Smooth_muscle","Negative","Gm10076"
"341","Adrenal","Smooth_muscle","Negative","mt-Nd3"
"342","Bonemarrow","DC","Positive","Gm47283"
"343","Bonemarrow","Immature_B_1","Positive","Gm47283"
"344","Bonemarrow","Mature_B","Positive","Gm47283"
"345","Bonemarrow","Monocyte","Positive","Pclaf"
"346","Bonemarrow","Monocyte","Positive","Stmn1"
"347","Bonemarrow","Monocyte","Positive","H2afz"
"348","Bonemarrow","Monocyte","Positive","Hist1h1b"
"349","Bonemarrow","Neutrophil_5","Positive","Hbb-bs"
"350","Bonemarrow","Neutrophil_5","Positive","Hba-a2"
"351","Bonemarrow","Neutrophil_5","Positive","Hba-a1"
"352","Bonemarrow","Neutrophil_5","Positive","Hbb-bt"
"353","Bonemarrow","Neutrophil_5","Positive","Camp"
"354","Bonemarrow","Neutrophil_5","Positive","Ngp"
"355","Bonemarrow","Neutrophil_5","Positive","S100a9"
"356","Bonemarrow","Neutrophil_5","Positive","Lcn2"
"357","Bonemarrow","Neutrophil_5","Positive","S100a8"
"358","Bonemarrow","Neutrophil_5","Positive","Wfdc21"
"359","Bonemarrow","Neutrophil_5","Positive","Actb"
"360","Bonemarrow","Neutrophil_5","Positive","Anxa1"
"361","Bonemarrow","Neutrophil_5","Positive","Chil3"
"362","Bonemarrow","Neutrophil_5","Positive","Hist1h2ap"
"363","Bonemarrow","NK_cell","Positive","Gm47283"
"364","Bonemarrow","Monocyte","Negative","Apoe"
"365","Colon","Enterocyte_2","Positive","Car1"
"366","Colon","Goblet","Positive","Car1"
"367","Heart","Fibroblast_1","Positive","Hsd11b1"
"368","Heart","Fibroblast_1","Positive","Ace"
"369","Heart","Fibroblast_1","Positive","Dpep1"
"370","Heart","Fibroblast_1","Positive","Fmo2"
"371","Heart","Fibroblast_1","Positive","C7"
"372","Heart","Fibroblast_1","Positive","Efemp1"
"373","Heart","Fibroblast_1","Positive","Wisp2"
"374","Heart","Fibroblast_1","Positive","Ccl11"
"375","Heart","Fibroblast_2","Positive","C7"
"376","Heart","Fibroblast_2","Positive","Ace"
"377","Heart","Fibroblast_2","Positive","Hsd11b1"
"378","Heart","Fibroblast_2","Positive","Dpep1"
"379","Heart","Fibroblast_2","Positive","C4b"
"380","Heart","Fibroblast_2","Positive","Wisp2"
"381","Heart","Fibroblast_3","Positive","Dpep1"
"382","Heart","Fibroblast_3","Positive","Hsd11b1"
"383","Heart","Fibroblast_3","Positive","Adamts5"
"384","Heart","Fibroblast_3","Positive","Ace"
"385","Heart","Fibroblast_3","Positive","Eln"
"386","Heart","Fibroblast_4","Positive","Penk"
"387","Heart","NK_cell","Positive","Ncr1"
"388","Heart","T_cell","Positive","Ly6c2"
"389","Heart","Endothelial","Negative","Zbtb16"
"390","Heart","Endothelial","Negative","Atf3"
"391","Heart","Endothelial","Negative","Gm12840"
"392","Heart","Endothelial","Negative","Klf9"
"393","Heart","Endothelial","Negative","Tsc22d3"
"394","Heart","Fibroblast_1","Negative","Col14a1"
"395","Heart","Fibroblast_1","Negative","Igfbp5"
"396","Heart","Fibroblast_2","Negative","Igfbp3"
"397","Heart","Fibroblast_3","Negative","Tsc22d3"
"398","Heart","Fibroblast_3","Negative","Igfbp3"
"399","Heart","Fibroblast_3","Negative","Col14a1"
"400","Heart","Fibroblast_4","Negative","Igfbp3"
"401","Intestine","Enterocyte_1","Positive","Defa30"
"402","Intestine","Enterocyte_1","Positive","AY036118"
"403","Intestine","Enterocyte_1","Positive","Defa24"
"404","Intestine","Enterocyte_1","Positive","AY761184"
"405","Intestine","Enterocyte_1","Positive","Reg3b"
"406","Intestine","Enterocyte_2","Positive","AY036118"
"407","Intestine","Enterocyte_2","Positive","Defa24"
"408","Intestine","Enteroendocrine","Positive","AY036118"
"409","Intestine","Goblet","Positive","AY036118"
"410","Intestine","Paneth","Positive","Rps2"
"411","Intestine","Paneth","Positive","Rplp0"
"412","Intestine","Paneth","Positive","Txn1"
"413","Intestine","Paneth","Positive","Rps17"
"414","Intestine","Paneth","Positive","Rps3a1"
"415","Intestine","Paneth","Positive","Rpl15"
"416","Intestine","Paneth","Positive","Pigr"
"417","Intestine","Paneth","Positive","Hsp90ab1"
"418","Intestine","Paneth","Positive","Epcam"
"419","Intestine","Paneth","Positive","Lgals4"
"420","Intestine","Paneth","Positive","Atp5g1"
"421","Intestine","Paneth","Positive","Slc25a5"
"422","Intestine","T_NK_cell_1","Positive","AY036118"
"423","Intestine","T_NK_cell_1","Positive","Defa30"
"424","Intestine","T_NK_cell_2","Positive","AY036118"
"425","Intestine","TA","Negative","Hmgcs2"
"426","Kidney","B_cell","Positive","Kap"
"427","Kidney","B_cell","Positive","Cyp4b1"
"428","Kidney","B_cell","Positive","Acsm2"
"429","Kidney","B_cell","Positive","Ugt2b38"
"430","Kidney","B_cell","Positive","Acy3"
"431","Kidney","Collecting_duct_intercalated","Positive","Kap"
"432","Kidney","Collecting_duct_intercalated","Positive","Cyp4b1"
"433","Kidney","Collecting_duct_principal_1","Positive","Kap"
"434","Kidney","Collecting_duct_principal_1","Positive","Cyp4b1"
"435","Kidney","Collecting_duct_principal_1","Positive","Acsm2"
"436","Kidney","Collecting_duct_principal_2","Positive","Kap"
"437","Kidney","Collecting_duct_principal_2","Positive","Cyp4b1"
"438","Kidney","Collecting_duct_principal_2","Positive","Acsm2"
"439","Kidney","Collecting_transitional","Positive","Kap"
"440","Kidney","Connecting_tubule","Positive","Kap"
"441","Kidney","Connecting_tubule","Positive","Cyp4b1"
"442","Kidney","Descending_thin_lmb","Positive","Kap"
"443","Kidney","Descending_thin_lmb","Positive","Cyp4b1"
"444","Kidney","Descending_thin_lmb","Positive","Acsm2"
"445","Kidney","Descending_thin_lmb","Positive","Ugt2b38"
"446","Kidney","Descending_thin_lmb","Positive","Cyp2e1"
"447","Kidney","Descending_thin_lmb","Positive","Acy3"
"448","Kidney","Descending_thin_lmb","Positive","Selenop"
"449","Kidney","Distal_convoluted_tubule","Positive","Kap"
"450","Kidney","Distal_convoluted_tubule","Positive","Cyp4b1"
"451","Kidney","Distal_convoluted_tubule","Positive","Acsm2"
"452","Kidney","Distal_convoluted_tubule","Positive","Ugt2b38"
"453","Kidney","Distal_convoluted_tubule","Positive","Cyp2e1"
"454","Kidney","Distal_convoluted_tubule","Positive","Acy3"
"455","Kidney","Distal_convoluted_tubule","Positive","Umod"
"456","Kidney","Distal_convoluted_tubule","Positive","Cndp2"
"457","Kidney","Endothelial_1","Positive","Kap"
"458","Kidney","Endothelial_1","Positive","Acsm2"
"459","Kidney","Endothelial_1","Positive","Ugt2b38"
"460","Kidney","Endothelial_1","Positive","Cyp2e1"
"461","Kidney","Endothelial_1","Positive","Acy3"
"462","Kidney","Endothelial_1","Positive","Cyp4b1"
"463","Kidney","Endothelial_1","Positive","Slc7a13"
"464","Kidney","Endothelial_1","Positive","Inmt"
"465","Kidney","Endothelial_1","Positive","Ces1f"
"466","Kidney","Endothelial_1","Positive","Slc34a1"
"467","Kidney","Endothelial_1","Positive","Cndp2"
"468","Kidney","Endothelial_1","Positive","Tmem27"
"469","Kidney","Endothelial_1","Positive","Slc22a6"
"470","Kidney","Endothelial_1","Positive","Nudt19"
"471","Kidney","Endothelial_1","Positive","Ttr"
"472","Kidney","Endothelial_1","Positive","Keg1"
"473","Kidney","Endothelial_1","Positive","Ttc36"
"474","Kidney","Endothelial_2","Positive","Kap"
"475","Kidney","Endothelial_2","Positive","Cyp26b1"
"476","Kidney","Endothelial_2","Positive","Ugt2b38"
"477","Kidney","Endothelial_2","Positive","Acsm2"
"478","Kidney","Endothelial_2","Positive","Acy3"
"479","Kidney","Endothelial_2","Positive","Cyp2e1"
"480","Kidney","Endothelial_2","Positive","Slc7a13"
"481","Kidney","Endothelial_2","Positive","Slc27a2"
"482","Kidney","Endothelial_2","Positive","Cndp2"
"483","Kidney","Endothelial_2","Positive","Slc34a1"
"484","Kidney","Endothelial_2","Positive","Nudt19"
"485","Kidney","Endothelial_2","Positive","Tmem27"
"486","Kidney","Endothelial_2","Positive","Ggt1"
"487","Kidney","Endothelial_3","Positive","Kap"
"488","Kidney","Endothelial_3","Positive","Cyp4b1"
"489","Kidney","Endothelial_3","Positive","Ugt2b38"
"490","Kidney","Endothelial_3","Positive","Acy3"
"491","Kidney","Endothelial_3","Positive","Acsm2"
"492","Kidney","Endothelial_3","Positive","Cyp2e1"
"493","Kidney","Endothelial_3","Positive","Cndp2"
"494","Kidney","Endothelial_3","Positive","Slc7a13"
"495","Kidney","Endothelial_3","Positive","Nudt19"
"496","Kidney","Endothelial_3","Positive","Slc34a1"
"497","Kidney","Loop_of_Henle_cell","Positive","Kap"
