"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","tissue","tissue_cell_type","cell_type","change"
"GO:0120161","GO:0120161","regulation of cold-induced thermogenesis","5/53","142/23174",1.82318713839481e-05,0.000433421306082039,0.000299793610795064,"Elovl6/Acsl1/Fabp5/Scd1/Vegfa",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006091","GO:0006091","generation of precursor metabolites and energy","7/53","372/23174",2.12000327192405e-05,0.000496460467708781,0.000343397230691861,"Gpd1/Pdhb/Pdha1/Pygl/Cs/Ldha/Chchd10",7,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0015980","GO:0015980","energy derivation by oxidation of organic compounds","6/53","251/23174",2.27989520742257e-05,0.00052605229124206,0.000363865628305367,"Gpd1/Pdhb/Pdha1/Pygl/Cs/Ldha",6,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:1990845","GO:1990845","adaptive thermogenesis","5/53","155/23174",2.77926783612403e-05,0.000631981338388203,0.000437135795430034,"Elovl6/Acsl1/Fabp5/Scd1/Vegfa",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006734","GO:0006734","NADH metabolic process","3/53","29/23174",3.95729870565531e-05,0.000887000238453311,0.000613530070004605,"Gpd1/Gpd2/Ldha",3,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0046890","GO:0046890","regulation of lipid biosynthetic process","5/53","169/23174",4.20327720153964e-05,0.000928865060452915,0.000642487590035192,"Thrsp/Pcx/Dgat2/Fabp5/Sod1",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006099","GO:0006099","tricarboxylic acid cycle","3/53","31/23174",4.85239215439948e-05,0.00105741712364622,0.000731405893448226,"Pdhb/Pdha1/Cs",3,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0008202","GO:0008202","steroid metabolic process","6/53","293/23174",5.40893172831879e-05,0.00116254984681263,0.000804125250453738,"Dgat2/Comt/Sorl1/Scd1/Sult1a1/Sod1",6,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0001659","GO:0001659","temperature homeostasis","5/53","179/23174",5.52579234259893e-05,0.00117161732236996,0.000810397141567496,"Elovl6/Acsl1/Fabp5/Scd1/Vegfa",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006739","GO:0006739","NADP metabolic process","3/53","34/23174",6.42853534015001e-05,0.00134484959315938,0.000930220341851883,"Tkt/Me1/Pgd",3,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0019432","GO:0019432","triglyceride biosynthetic process","3/53","35/23174",7.01985744197485e-05,0.00144923109558665,0.00100242008624322,"Thrsp/Acsl1/Dgat2",3,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006066","GO:0006066","alcohol metabolic process","6/53","310/23174",7.38694799672462e-05,0.0015052105723196,0.00104114058573111,"Gpd1/Dgat2/Sorl1/Rbp4/Sod1/Nudt4",6,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006636","GO:0006636","unsaturated fatty acid biosynthetic process","3/53","38/23174",9.00430305700094e-05,0.00176596893705431,0.00122150479628526,"Fabp5/Scd1/Scd2",3,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0046460","GO:0046460","neutral lipid biosynthetic process","3/53","38/23174",9.00430305700094e-05,0.00176596893705431,0.00122150479628526,"Thrsp/Acsl1/Dgat2",3,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0046463","GO:0046463","acylglycerol biosynthetic process","3/53","38/23174",9.00430305700094e-05,0.00176596893705431,0.00122150479628526,"Thrsp/Acsl1/Dgat2",3,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0019439","GO:0019439","aromatic compound catabolic process","7/53","476/23174",0.000100551273363288,0.00194771540625925,0.00134721719087135,"Gpd1/Csde1/Comt/Nudt4/Tob1/Ldha/Vegfa",7,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:1901136","GO:1901136","carbohydrate derivative catabolic process","4/53","119/23174",0.000159365579921882,0.00302356194334718,0.00209137054348458,"Gpd1/Nudt4/Gpd2/Psap",4,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0019674","GO:0019674","NAD metabolic process","3/53","46/23174",0.00015994623409676,0.00302356194334718,0.00209137054348458,"Gpd1/Gpd2/Ldha",3,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0035336","GO:0035336","long-chain fatty-acyl-CoA metabolic process","2/53","10/23174",0.000228249347716527,0.00426337174484799,0.00294893580821729,"Acsl1/Dgat2",2,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006072","GO:0006072","glycerol-3-phosphate metabolic process","2/53","11/23174",0.00027856259002541,0.00512873579925186,0.00354750032473158,"Gpd1/Gpd2",2,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0016052","GO:0016052","carbohydrate catabolic process","4/53","138/23174",0.000281116175102396,0.00512873579925186,0.00354750032473158,"Gpd1/Pgd/Pygl/Ldha",4,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0043536","GO:0043536","positive regulation of blood vessel endothelial cell migration","3/53","56/23174",0.00028739961226405,0.00518310335221029,0.00358510587107363,"Atp5a1/Amotl1/Vegfa",3,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0045017","GO:0045017","glycerolipid biosynthetic process","4/53","141/23174",0.000305112123395308,0.00544001047280953,0.00376280621077228,"Thrsp/Acsl1/Dgat2/Fabp5",4,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0006098","GO:0006098","pentose-phosphate shunt","2/53","12/23174",0.000333785299599609,0.00575504544034929,0.00398071305826717,"Tkt/Pgd",2,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:1902946","GO:1902946","protein localization to early endosome","2/53","12/23174",0.000333785299599609,0.00575504544034929,0.00398071305826717,"Sorl1/Vegfa",2,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:1905668","GO:1905668","positive regulation of protein localization to endosome","2/53","12/23174",0.000333785299599609,0.00575504544034929,0.00398071305826717,"Sorl1/Vegfa",2,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0042593","GO:0042593","glucose homeostasis","5/53","265/23174",0.000345159081919059,0.00588646303838048,0.0040716134262992,"Fabp5/Rbp4/Pygl/Aacs/Igfbp5",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0033500","GO:0033500","carbohydrate homeostasis","5/53","266/23174",0.000351166484250947,0.00592451842784662,0.00409793599618253,"Fabp5/Rbp4/Pygl/Aacs/Igfbp5",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0009167","GO:0009167","purine ribonucleoside monophosphate metabolic process","5/53","267/23174",0.000357252822935196,0.00596308169346088,0.00412460985941979,"Gpd1/Atp5a1/Nudt4/Ldha/Chchd10",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0009126","GO:0009126","purine nucleoside monophosphate metabolic process","5/53","268/23174",0.000363418782046028,0.00600214809505493,0.00415163173727928,"Gpd1/Atp5a1/Nudt4/Ldha/Chchd10",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0034655","GO:0034655","nucleobase-containing compound catabolic process","6/53","418/23174",0.000372611704260408,0.00608987254150604,0.00421230994618948,"Gpd1/Csde1/Nudt4/Tob1/Ldha/Vegfa",6,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0009161","GO:0009161","ribonucleoside monophosphate metabolic process","5/53","271/23174",0.000382401259433265,0.0061854389283587,0.00427841235459248,"Gpd1/Atp5a1/Nudt4/Ldha/Chchd10",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0052646","GO:0052646","alditol phosphate metabolic process","2/53","13/23174",0.000393895607594804,0.00624264856885098,0.00431798374726468,"Gpd1/Gpd2",2,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:1905666","GO:1905666","regulation of protein localization to endosome","2/53","13/23174",0.000393895607594804,0.00624264856885098,0.00431798374726468,"Sorl1/Vegfa",2,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0009123","GO:0009123","nucleoside monophosphate metabolic process","5/53","280/23174",0.000443873001113238,0.00696436738746671,0.00481719014892367,"Gpd1/Atp5a1/Nudt4/Ldha/Chchd10",5,"Adipose","Adipose_Adipocyte","Adipocyte","down"
"GO:0010594","GO:0010594","regulation of endothelial cell migration","4/53","157/23174",0.00045855611707855,0.00712351037323014,0.00492726791774867,"Glul/Atp5a1/Amotl1/Vegfa",4,"Adipose","Adipose_Adipocyte","Adipocyte","down"
